,WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
3373671,20070411,UG,Apac,ENG,State,23424974
3373672,20070412,UG,Arua,ENG,State,23424974
3373673,20070413,UG,Bundibugyo,ENG,State,23424974
3373674,20070414,UG,Bushenyi,ENG,State,23424974
3373675,20070415,UG,Gulu,ENG,State,23424974
3373676,20070416,UG,Hoima,ENG,State,23424974
3373677,20070417,UG,Jinja,ENG,State,23424974
3373678,20070418,UG,Kabale,ENG,State,23424974
3373679,20070419,UG,Kabarole,ENG,State,23424974
3373680,20070420,UG,Kalangala,ENG,State,23424974
3373681,20070421,UG,Kampala,ENG,State,23424974
3373682,20070422,UG,Kamuli,ENG,State,23424974
3373683,20070423,UG,Kapchorwa,ENG,State,23424974
3373684,20070424,UG,Kasese,ENG,State,23424974
3373685,20070425,UG,Kibaale,ENG,State,23424974
3373686,20070426,UG,Kiboga,ENG,State,23424974
3373687,20070427,UG,Kisoro,ENG,State,23424974
3373688,20070428,UG,Kitgum,ENG,State,23424974
3373689,20070429,UG,Kotido,ENG,State,23424974
3373690,20070430,UG,Kumi,ENG,State,23424974
3373691,20070431,UG,Lira,ENG,State,23424974
3373692,20070432,UG,Masindi,ENG,State,23424974
3373693,20070433,UG,Mbale,ENG,State,23424974
3373694,20070434,UG,Mbarara,ENG,State,23424974
3373695,20070435,UG,Moroto,ENG,State,23424974
3373696,20070436,UG,Mpigi,ENG,State,23424974
3373697,20070437,UG,Mubende,ENG,State,23424974
3373698,20070438,UG,Mukono,ENG,State,23424974
3373699,20070439,UG,Nebbi,ENG,State,23424974
3373700,20070440,UG,Ntungamo,ENG,State,23424974
3373701,20070441,UG,Pallisa,ENG,State,23424974
3373702,20070442,UG,Rakai,ENG,State,23424974
3373703,20070443,UG,Rukungiri,ENG,State,23424974
3373704,20070444,UG,Moyo,ENG,State,23424974
3373705,20070445,UG,Adjumani,ENG,State,23424974
3373706,20070446,UG,Katakwi,ENG,State,23424974
3373707,20070447,UG,Soroti,ENG,State,23424974
3373708,20070448,UG,Bugiri,ENG,State,23424974
3373709,20070449,UG,Iganga,ENG,State,23424974
3373710,20070450,UG,Sembabule,ENG,State,23424974
3373711,20070451,UG,Masaka,ENG,State,23424974
3373712,20070452,UG,Nakasongola,ENG,State,23424974
3373713,20070453,UG,Luwero,ENG,State,23424974
3373714,20070454,UG,Busia,ENG,State,23424974
3373715,20070455,UG,Tororo,ENG,State,23424974
3373716,24550732,UG,Mayuge,ENG,State,23424974
3373717,24550733,UG,Kanungu,ENG,State,23424974
3373718,24550734,UG,Kyenjojo,ENG,State,23424974
3373719,24550735,UG,Kamwenge,ENG,State,23424974
3373720,24550736,UG,Pader,ENG,State,23424974
3373721,24550737,UG,Sironko,ENG,State,23424974
3373722,24550738,UG,Nakapiripirit,ENG,State,23424974
3373723,24550739,UG,Yumbe,ENG,State,23424974
3373724,24550740,UG,Wakiso,ENG,State,23424974
3373725,24550742,UG,Kayunga,ENG,State,23424974
3373726,24550743,UG,Kaberamaido,ENG,State,23424974
3373727,56190194,UG,Amuria,ENG,State,23424974
3373728,56190195,UG,Amolatar,ENG,State,23424974
3373729,56190196,UG,Bududa,ENG,State,23424974
3373730,56190197,UG,Budaka,ENG,State,23424974
3373731,56190198,UG,Bukedea,ENG,State,23424974
3373732,56190199,UG,Butaleja,ENG,State,23424974
3373733,56190200,UG,Namutumba,ENG,State,23424974
3373734,56190202,UG,Bukwo,ENG,State,23424974
3373735,56190203,UG,Dokolo,ENG,State,23424974
3373736,56190204,UG,Ibanda,ENG,State,23424974
3373737,56190205,UG,Kiruhuura,ENG,State,23424974
3373738,56190206,UG,Amuru,ENG,State,23424974
3373739,56190207,UG,Lyantonde,ENG,State,23424974
3373740,56190208,UG,Nyadri,ENG,State,23424974
3373741,56190209,UG,Manafwa,ENG,State,23424974
3373742,56190210,UG,Isingiro,ENG,State,23424974
3373743,56190211,UG,Nakaseke,ENG,State,23424974
3373744,56190212,UG,Koboko,ENG,State,23424974
3373745,56190213,UG,Oyam,ENG,State,23424974
3373746,56190214,UG,Kaliro,ENG,State,23424974
3373747,56190215,UG,Mityana,ENG,State,23424974
3373748,56190216,UG,Kaabong,ENG,State,23424974
3373749,56190217,UG,Abim,ENG,State,23424974
3373750,56190379,UG,Kisoro,ENG,State,23424974
3373751,56190218,UG,Dodoth,ENG,County,56190216
3373752,56190219,UG,Kwania,ENG,County,20070411
3373753,56190220,UG,Kole,ENG,County,20070411
3373754,56190221,UG,Maruzi,ENG,County,20070411
3373755,56190222,UG,East Moyo,ENG,County,20070445
3373756,56190223,UG,Labwor,ENG,County,56190217
3373757,56190224,UG,Amuria,ENG,County,56190194
3373758,56190225,UG,Kapelebyong,ENG,County,56190194
3373759,56190226,UG,Kioga,ENG,County,56190195
3373760,56190227,UG,Arua,ENG,County,20070412
3373761,56190228,UG,Ayivu,ENG,County,20070412
3373762,56190229,UG,Madi-Okollo,ENG,County,20070412
3373763,56190230,UG,Vurra,ENG,County,20070412
3373764,56190231,UG,Manjiya,ENG,County,56190196
3373765,56190232,UG,Budaka,ENG,County,56190197
3373766,56190233,UG,Butebo,ENG,County,56190197
3373767,56190234,UG,Bukedea,ENG,County,56190198
3373768,56190235,UG,Bukooli,ENG,County,20070448
3373769,56190236,UG,Bunyole,ENG,County,56190199
3373770,56190237,UG,Busiki,ENG,County,56190200
3373771,56190238,UG,Bwamba,ENG,County,20070413
3373772,56190239,UG,Ntoroko,ENG,County,20070413
3373773,56190240,UG,Bunyangabu,ENG,County,20070419
3373774,56190241,UG,Burahya,ENG,County,20070419
3373775,56190242,UG,Fort Portal,ENG,County,20070419
3373776,56190243,UG,Buhweju,ENG,County,20070414
3373777,56190244,UG,Bunyaruguru,ENG,County,20070414
3373778,56190245,UG,Igara,ENG,County,20070414
3373779,56190246,UG,Ruhinda,ENG,County,20070414
3373780,56190247,UG,Sheema,ENG,County,20070414
3373781,56190248,UG,Samia-Bugwe,ENG,County,20070454
3373782,56190249,UG,Kongasis,ENG,County,56190202
3373783,56190250,UG,Dokolo,ENG,County,56190203
3373784,56190251,UG,Aswa,ENG,County,20070415
3373785,56190252,UG,Gulu,ENG,County,20070415
3373786,56190253,UG,Omoro,ENG,County,20070415
3373787,56190254,UG,Bugahya,ENG,County,20070416
3373788,56190255,UG,Buhaguzi,ENG,County,20070416
3373789,56190256,UG,Ibanda,ENG,County,56190204
3373790,56190257,UG,Bugweri,ENG,County,20070449
3373791,56190258,UG,Kigulu,ENG,County,20070449
3373792,56190259,UG,Luuka,ENG,County,20070449
3373793,56190260,UG,Butembe,ENG,County,20070417
3373794,56190261,UG,Jinja,ENG,County,20070417
3373795,56190262,UG,Kagoma,ENG,County,20070417
3373796,56190263,UG,Kabale,ENG,County,20070418
3373797,56190264,UG,Ndorwa,ENG,County,20070418
3373798,56190265,UG,Rubanda,ENG,County,20070418
3373799,56190266,UG,Rukiga,ENG,County,20070418
3373800,56190267,UG,Kaberamaido,ENG,County,24550743
3373801,56190268,UG,Kalaki,ENG,County,24550743
3373802,56190269,UG,Kibaale,ENG,County,24550735
3373803,56190270,UG,Kitagwenda,ENG,County,24550735
3373804,56190271,UG,Jie,ENG,County,20070429
3373805,56190272,UG,Kiboga,ENG,County,20070426
3373806,56190273,UG,Kazo,ENG,County,56190205
3373807,56190274,UG,Nyabushozi,ENG,County,56190205
